,title,company,salary,summary
24,Senior Backend Developer,NodeFlair,"RM 13,000 - RM 15,999 a month",Docker C++ Go Message Queue essage Queue Elastic Rust Java NoSQL Kubernetes Ruby C# GraphQL PHP React Python.
25,Python Developer/Test Automation Engineer,NodeFlair,"RM 8,000 - RM 9,999 a month",Work closely with developers to understand application changes and update automated test scripts accordingly. Selenium CI Gherkin Cucumber Git Robot Python.
26,Web Programmer (Web Developer) #PHP and Laravel - Bangsar,JOBBUILDER,"RM 2,800 - RM 7,000 a month",Develop new applications / utilities / interface programs. Maintain and modify existing company applications. Able to get work done without supervision.
27,Fullstack Developer,First Pavilion Technology Sdn Bhd,"RM 5,000 - RM 10,000 a month","Develop front-end website architecture and user interactions using frameworks like React, Vue, and Angular.. smart contracts, is highly desirable.."
28,Python Developer,Arvato Systems Malaysia Sdn. Bhd.,,"Design, develop, test, debug and documenting of applications to satisfy business requirements of projects. Provide technical consultation to the Business/System…"
29,Software Developer,Talentbank,"RM 6,800 - RM 10,200 a month","Collaborate with cross-functional teams to gather and analyze client requirements, and translate them into technical specifications."
30,SOFTWARE DEVELOPER,INSCALE,,Candidates should have strong hands-on experience in Web development and willing to do coding in Ruby on Rails and other development languages.
31,Backend Developer,NodeFlair,"RM 5,000 - RM 5,999 a month",ETL Snowflake AWS Docker Jenkins Dataflow R Talend Glue UNIX Git Bamboo Azure Java Airflow NoSQL SQL Scala Python. 3+ years of experience in Data warehousing.
32,"Back-End Software Developer (Temporary Work From Home/Remote, Based in Malaysia)",VIBRO TECHNOLOGIES (M) SDN BHD,"RM 4,000 a month",Develop Windows software running as a service to perform the following tasks: Fetch raw data from Data Collector via FTP; Transform and organize raw data into a…
33,Junior/Senior Backend Developer,Telekom Research & Development Sdn Bhd,"RM 3,500 - RM 10,000 a month","Solid skills in programming skills and framework, Senior developers should have 2 or more of the listed skills: Java, Python, NodeJS."
34,Backend Developer,Oxydata Software,,"We are seeking an experienced Backend Developer to lead our back-end development efforts, ensuring the creation of scalable, efficient, and secure systems."
35,Backend Developer,YM Global Technologies,"RM 8,000 a month","Collaborate with multidisciplinary team of designers, developers and system administrators. Focus on coding and debugging."
36,Full Stack Developer,Duhani Capital,,"You will collaborate closely with other developers, UX/UI designers, and product managers to deliver high-quality, user-friendly, and scalable solutions."
37,Frontend Developer,Ekco,,Collaborate with backend developers (python) on implementations. 3+ years of experience in frontend developer role. Develop features in our existing Vue.js app.
38,Backend Developer,Mastertech Solutions Sdn Bhd,"RM 3,000 - RM 5,000 a month","Designing, developing, debugging and supporting web applications and their infrastructure. Producing materials to support technical documentations, including…"
39,Full Stack Developer,HECTADATA Sdn Bhd,"RM 2,700 - RM 3,700 a month","Collaborate with project managers, designers, and other developers to understand project requirements and translate them into technical specifications."
40,Web Developer,Ultrack Technology Sdn Bhd (TrackerHero),"RM 2,300 - RM 3,500 a month",Have a diploma or degree in computer science or any equivalent. Strong organizational and project management skills. Free lunch meal (Monday & Friday).
41,Internship for Mobile App Developer,Datum Clearmind Sdn Bhd,,"Assists in building new and maintaining existing apps in the following platform. Guided to learn new programming languages, development environments, and system…"
42,Backend Developer,Upscale Sdn Bhd,"RM 5,000 - RM 10,000 a month","Solid skills in programming skills and framework, Senior developers should have 3 or more of the listed skills: Java, Python, JavaScript (Node.js) and…"
43,Software Apprenticeship Program,Gigi Coffee Sdn Bhd,"RM 1,500 a month","Assist in Software Development and Automation Tasks: Collaborate with senior developers and engineers to write, test, and debug software code."
44,Odoo Developer Jr.- KL [YU],Upscale Sdn Bhd,"RM 3,000 - RM 6,000 a month","The Odoo developer will also support the ongoing production system, identify the root cause and provide solution. Support day to day BAU, as needed."
